Year,Op. Reported,Op. Surrendered,Verified Emission,pc YoY,Surrendered Units,pc,Allocations,pc
2024,13742,11220,1186321950,0.031387296,1124411773,0.947813343,514091053,0.433348682
2023,10475,8390,1150219665,-0.15540305,1153661430,1.002992268,558936104,0.485938574
2022,10558,8460,1361856285,-0.001877392,1358745816,0.997716008,564976388,0.414857569
2021,10877,8573,1364417832,-0.011959003,1360207303,0.996914047,569586714,0.417457688
2020,12092,9982,1380932407,-0.136130418,1370083511,0.992143789,674216762,0.488232993
2019,12384,10372,1598542692,-0.086855104,1583910898,0.990846792,697807032,0.436526991
2018,12522,10505,1750590404,-0.037685029,1737025162,0.992251047,718274511,0.410304152
2017,12567,10523,1819144934,0.003910052,1809631327,0.994770286,747575582,0.410948885
2016,12661,10612,1812059686,-0.025790465,1805246579,0.996240131,776556701,0.428549185
2015,12843,10729,1860030743,-0.004510988,1844422762,0.991608751,805989243,0.433320388
2014,13133,11012,1868459340,-0.047413872,1917486490,1.026239345,847476330,0.453569586
2013,13429,10774,1961459741,0.005326607,1909652241,0.973587273,894819136,0.456200613
2012,12338,10969,1951067172,0.024508109,1948634784,0.998753304,2227818972,1.141846372
2011,11248,10207,1904394075,-0.017747514,1883556289,0.989058049,2016573723,1.058905691
2010,11308,10312,1938803008,0.031487536,1927044006,0.993934917,1997893777,1.030477964
2009,11307,10326,1879618454,-0.11325121,1911632326,1.017032112,1972036847,1.049168698
2008,11318,10394,2119674111,-0.024161305,2095429048,0.988561891,1957939778,0.923698491
2007,11345,10087,2172156240,0.063201209,2147259017,0.988538015,2153150662,0.991250363
2006,10711,9901,2043034019,0.010839059,2378787888,1.164340812,2071763797,1.01406231
2005,10463,7941,2021126905,,1639944177,0.811400894,2096444196,1.037264998
