Country,Total Energy,Fuel Combustion,  Energy Industries,      Public Electricity and Heat Production,     Petroleum Refining,      Other Energy Industries,  Manufacturing and Construction,      Iron and Steel,      Non-Ferrous Metals,      Chemicals,"      Pulp, Paper and Print","      Food, Beverages and Tobacco",      Other,  Transport ,  Other Sectors,      Commercial/Institutional,     Residential,      Agriculture / Forestry / Fisheries,  Other (Not elsewhere specified),Fugitive Emissions from Fuels,Industrial Processes and Product Use,Agriculture,Waste,Other,Indirect CO2,Total Emissions
EU-27,2713.568561,2654.168611,866.7003318,737.905959,98.01937658,30.77499629,392.5859763,69.62052087,8.41252748,53.08552276,21.1062362,34.35470878,206.0064602,913.0068863,474.8386044,105.8145535,294.4754643,74.54858664,7.03681253,59.39994945,291.8445271,365.7189563,109.7069605,,3.62688723,3484.465892
BE,81.68382599,81.03985394,18.50143977,13.57782136,4.76003731,0.1635811,12.56512436,0.98465973,0.3962669,3.62559139,0.5603252,2.21951697,4.77876417,29.48215895,20.39375744,4.93795406,13.0786257,2.37717768,0.09737341,0.64397205,16.86305612,9.14904875,1.17574668,,,108.8716775
BG,45.69270041,43.56409298,27.02074541,25.9836076,1.03246356,0.00467425,4.35957008,0.11096665,0.25532302,1.43169481,0.09789374,0.30588545,2.1578064,10.53850414,1.60579408,0.39474454,0.6869815,0.52406804,0.03947927,2.12860743,4.57491888,5.94321842,2.80839931,,0.06348156,59.08271858
CZ,88.71960557,86.27545196,42.76993101,40.65708197,0.50651211,1.60633693,11.31757429,1.62963016,0.14852017,3.27292687,0.70897328,1.06825705,4.48926677,20.20305062,11.71576034,2.33167005,8.19182115,1.19226914,0.26913572,2.44415361,15.04520454,8.42227613,5.70210748,,0.6111528,118.5003465
DK,29.59421576,29.40078572,8.19682208,6.39965945,0.91332839,0.88383424,3.48399565,0.08122847,,0.18993131,0.02766158,0.72812223,2.45705206,14.21583282,3.31664215,0.6407471,1.17679112,1.49910393,0.18749302,0.19343004,1.67831938,11.52297971,1.22216199,,0.22561961,44.24329645
DE,666.3096188,662.548542,252.0726248,220.1392384,22.05045962,9.88292675,115.803218,33.85127938,0.14722362,,0.01935506,0.18580614,81.59955381,176.0437564,117.7845163,24.19674319,85.50240331,8.08536977,0.84442655,3.76107679,52.06132946,53.34873482,5.66040925,,,777.3800923
EE,11.94301975,11.92580877,8.42637854,6.86240501,,1.56397353,0.26669961,0.000688,,0.0129283,0.04226102,0.06191938,0.14890289,2.81810919,0.41462143,0.18229862,0.14142371,0.09089909,,0.01721098,0.2749894,1.59302366,0.31402868,,,14.12506149
IE,37.30625106,37.21665365,9.98857678,9.61335901,0.30827781,0.06693995,4.30205862,0.00237211,1.21474066,0.36905648,0.01890131,1.0657477,1.63124036,14.79653941,8.12947883,1.4220414,5.78738463,0.9200528,,0.08959742,3.02925958,22.43675584,0.87787376,,,63.65014025
EL,58.42497087,57.94571366,24.73534289,18.88140933,5.84971008,0.00422347,4.47367175,0.12328374,0.55839628,0.21778569,0.08428378,0.63255188,2.85737038,21.88035844,6.55507424,0.61268634,5.29857336,0.64381454,0.30126635,0.47925721,9.59705345,7.98046152,6.24041651,,,82.24290234
ES,237.1408524,233.0475788,53.16312373,42.71336708,9.61581009,0.83394655,37.864139,4.76610816,1.36268261,6.6174743,3.7681395,4.19419407,17.15554037,105.5416037,36.25157209,9.13158718,15.19000999,11.92997492,0.22714031,4.09327356,22.54969645,34.86324163,14.73236358,,,309.286154
FR,290.4036566,287.8813188,40.04318333,32.63418704,5.2136874,2.19530888,40.12893306,3.80525264,0.78608998,8.57650463,2.15356177,7.2163794,17.59114465,142.0380742,63.69116327,17.37915247,34.63488692,11.67712389,1.97996503,2.52233774,38.26297084,63.64537663,16.57245079,,0.84809764,409.7325525
