Year,Total Energy,Fuel Combustion,  Energy Industries,      Public Electricity and Heat Production,     Petroleum Refining,      Other Energy Industries,  Manufacturing and Construction,      Iron and Steel,      Non-Ferrous Metals,      Chemicals,"      Pulp, Paper and Print","      Food, Beverages and Tobacco",      Other,  Transport ,  Other Sectors,      Commercial/Institutional,     Residential,      Agriculture / Forestry / Fisheries,  Other (Not elsewhere specified),Fugitive Emissions from Fuels,Industrial Processes and Product Use,Agriculture,Waste,Other,Indirect CO2,Total Emissions
1990,3796,3627,1442,1233,108,102,721,152,12,95,31,46,386,727,714,172,450,92,22,169,451,483,185,,8,4922
1991,3746,3590,1410,1213,101,95,678,141,13,89,33,49,353,735,749,177,480,91,19,156,419,455,188,,8,4815
1992,3630,3479,1363,1177,102,85,640,131,12,75,31,48,344,760,701,159,452,89,15,151,406,434,190,,7,4668
1993,3575,3425,1312,1125,104,83,619,123,10,75,30,50,331,766,715,159,463,92,12,150,396,423,189,,7,4590
1994,3538,3392,1318,1126,108,84,617,129,11,80,33,52,313,775,671,147,431,92,11,146,420,418,188,,7,4571
1995,3582,3437,1319,1125,111,83,638,131,11,93,34,55,313,791,678,149,438,92,10,145,431,417,188,,7,4625
1996,3677,3536,1348,1156,114,78,630,121,11,91,34,56,316,816,733,163,476,94,9,141,430,419,186,,7,4719
1997,3609,3463,1313,1122,114,77,621,125,12,88,35,54,305,828,691,151,449,91,10,146,435,417,183,,7,4650
1998,3597,3459,1316,1127,117,72,596,119,12,80,33,52,300,861,675,150,436,89,10,138,418,414,180,,7,4615
1999,3553,3416,1279,1101,114,64,581,110,12,80,32,51,295,885,663,151,424,89,9,136,399,412,176,,6,4546
2000,3535,3415,1305,1126,117,62,579,117,13,80,32,49,287,884,639,144,408,87,9,120,415,408,175,,6,4538
2001,3599,3483,1330,1153,118,59,567,109,13,78,31,50,285,897,681,157,437,87,8,116,402,406,172,,6,4586
2002,3593,3478,1352,1175,118,59,557,106,13,74,32,50,282,903,656,151,421,85,8,115,403,399,169,,6,4570
2003,3669,3554,1403,1223,118,62,563,106,12,76,32,49,288,914,665,147,433,85,9,115,414,394,166,,6,4648
2004,3665,3557,1396,1210,123,63,556,108,12,77,31,47,281,933,662,151,426,86,10,107,430,391,161,,6,4653
2005,3663,3556,1385,1197,124,63,551,106,11,77,31,46,280,940,670,158,426,86,11,106,430,387,156,,6,4641
2006,3674,3570,1393,1203,125,65,540,107,11,75,30,41,274,962,667,164,420,83,10,104,433,385,152,,6,4650
2007,3618,3519,1404,1216,125,62,549,112,11,76,30,41,280,970,587,141,366,80,10,99,445,388,148,,6,4604
2008,3563,3466,1337,1155,124,58,531,106,11,75,28,39,271,957,632,154,397,81,9,97,421,385,143,,5,4518
2009,3318,3228,1238,1073,117,48,439,74,10,64,27,35,229,922,621,153,389,79,8,90,348,380,141,,5,4191
2010,3391,3302,1255,1084,116,55,471,93,11,67,27,37,236,916,652,159,412,81,8,89,365,375,137,,5,4272
2011,3291,3202,1245,1079,114,52,461,92,10,67,26,35,230,909,580,140,359,80,8,89,364,374,133,,5,4166
2012,3236,3149,1229,1073,112,44,444,89,9,64,25,35,221,878,591,140,372,78,7,88,349,374,130,,4,4094
2013,3154,3067,1167,1017,107,42,427,84,9,61,25,35,212,873,594,142,374,78,7,87,345,376,125,,4,4004
2014,3007,2923,1106,960,105,42,412,81,8,56,23,35,208,878,521,126,317,78,7,84,352,380,121,,4,3864
2015,3070,2987,1114,968,106,40,421,86,8,57,24,36,211,901,545,132,336,77,7,83,343,383,119,,4,3919
2016,3070,2990,1089,944,105,40,425,82,8,56,24,36,218,924,546,125,344,77,6,80,345,385,117,,4,3920
2017,3094,3015,1085,943,103,39,432,83,9,59,24,37,221,946,545,127,341,77,6,79,351,386,116,,4,3951
2018,3032,2957,1024,884,99,41,431,83,9,60,24,37,219,960,535,124,332,79,6,76,344,384,114,,4,3878
2019,2891,2822,905,765,100,40,419,79,9,57,25,36,214,966,526,122,326,78,6,69,331,378,113,,4,3717
2020,2546,2482,778,652,93,33,399,67,8,57,22,35,209,777,521,115,327,80,6,64,307,380,112,,4,3349
2021,2722,2661,841,716,93,32,430,78,9,63,23,36,221,848,534,121,334,80,7,61,318,376,111,,4,3531
2022,2714,2654,867,738,98,31,393,70,8,53,21,34,206,913,475,106,294,75,7,59,292,366,110,,4,3484
