date,indeks,price,volume
01.01.2012,t2pa,6.31,300000
02.01.2012,t2pa,6.31,300000
03.01.2012,t2pa,6.31,300000
10.01.2012,t2pa,6.83,300000
17.01.2012,t2pa,6.68,300000
24.01.2012,t2pa,6.9,300000
26.01.2012,t2pa,7.46,850000
31.01.2012,t2pa,7.66,300000
07.02.2012,t2pa,8.42,300000
14.02.2012,t2pa,7.6,300000
21.02.2012,t2pa,8.58,300000
23.02.2012,t2pa,8.81,1000000
28.02.2012,t2pa,9.17,300000
06.03.2012,t2pa,8.44,300000
13.03.2012,t2pa,7.65,300000
15.03.2012,t2pa,7.8,850000
20.03.2012,t2pa,7.25,300000
22.03.2012,t2pa,6.95,1000000
27.03.2012,t2pa,6.9,300000
03.04.2012,t2pa,6,300000
10.04.2012,t2pa,6.54,300000
17.04.2012,t2pa,6.97,300000
19.04.2012,t2pa,7.02,1000000
24.04.2012,t2pa,7.06,300000
08.05.2012,t2pa,6.5,300000
15.05.2012,t2pa,6.49,300000
22.05.2012,t2pa,6.65,300000
29.05.2012,t2pa,6.55,300000
05.06.2012,t2pa,6.27,300000
12.06.2012,t2pa,6.54,300000
14.06.2012,t2pa,6.59,1000000
19.06.2012,t2pa,7.39,300000
26.06.2012,t2pa,8,300000
03.07.2012,t2pa,8.11,300000
10.07.2012,t2pa,7.87,300000
17.07.2012,t2pa,7.68,300000
24.07.2012,t2pa,7.13,300000
31.07.2012,t2pa,6.64,300000
07.08.2012,t2pa,7.21,300000
14.08.2012,t2pa,7.51,300000
21.08.2012,t2pa,7.6,300000
28.08.2012,t2pa,8.25,300000
04.09.2012,t2pa,8.24,300000
11.09.2012,t2pa,7.72,300000
18.09.2012,t2pa,7.25,300000
25.09.2012,t2pa,7.21,300000
02.10.2012,t2pa,7.79,300000
09.10.2012,t2pa,7.85,300000
11.10.2012,t2pa,7.59,1000000
16.10.2012,t2pa,7.76,300000
23.10.2012,t2pa,7.85,300000
26.10.2012,t3pa,7.54,3000000
30.10.2012,t2pa,8.12,300000
02.11.2012,t3pa,7.96,3000000
06.11.2012,t2pa,8.24,1150000
09.11.2012,t3pa,8.2,3000000
13.11.2012,t2pa,8.53,1150000
13.11.2012,t3pa,8.49,4031000
15.11.2012,t3pa,7.3,4031000
16.11.2012,t3pa,6.75,3000000
20.11.2012,t2pa,6.56,868000
20.11.2012,t3pa,6.47,4478500
22.11.2012,t3pa,6.64,4478500
23.11.2012,t3pa,6.75,3000000
27.11.2012,t3pa,6.7,4837500
29.11.2012,t3pa,6.68,4837500
30.11.2012,t3pa,6.23,3000000
04.12.2012,t3pa,5.82,5301500
06.12.2012,t3pa,6.3,5301500
07.12.2012,t3pa,6.42,3000000
10.12.2012,t2pa,6.63,1250000
11.12.2012,t3pa,6.91,5515500
13.12.2012,t3pa,6.55,5515500
14.12.2012,t3pa,6.57,2531000
17.12.2012,t2pa,6.29,1250000
18.12.2012,t3pa,6.45,5584500
07.01.2013,t3pa,6.18,3545000
08.01.2013,t3pa,6.35,3544500
